'census_2010_block_id','sector_id','number_of_jobs','census_block_id'
'530330004023000',11,1,21974
'530330004023001',7,1,21971
'530330004023002',7,3,21970
'530330004023002',11,3,21970
'530330004023003',2,2,21968
'530330004023003',4,2,21968
'530330004023003',5,1,21968
'530330004023003',7,7,21968
'530330004023003',9,2,21968
'530330004023003',10,1,21968
'530330004023004',2,10,2983
'530330004023004',7,3,2983
'530330004023004',9,3,2983
'530330004023004',11,3,2983
'530330004023005',5,1,22207
'530330004023005',7,1,22207
'530330004023008',2,3,22210
'530330004023008',7,7,22210
'530330004023009',11,1,12329
'530330004023011',8,1,16343
'530330004023011',10,7,16343
'530330004023011',11,0,16343
'530330004023012',11,1,16342
'530330004023013',7,4,15283
'530330004023013',8,1,15283
'530330004023013',9,3,15283
'530330004023013',11,1,15283
'530330004023014',2,10,15711
'530330004023014',4,1,15711
'530330004023014',5,1,15711
'530330004023014',7,1,15711
'530330004023014',8,1,15711
'530330004023014',9,2,15711
'530330004023014',11,1,15711
'530330004023016',7,3,21972
'530330004023018',11,1,20847
'530330004024000',2,1,21983
'530330004024000',7,2,21983
'530330004024001',5,1,21980
'530330004024001',8,1,21980
'530330004024001',9,1,21980
'530330004024002',5,2,21979
'530330004024002',7,2,21979
'530330004024002',11,2,21979
'530330004024003',2,5,5830
'530330004024003',5,1,5830
'530330004024003',7,8,5830
'530330004024003',9,3,5830
'530330004024003',10,1,5830
'530330004024004',5,10,23670
'530330004024004',7,3,23670
'530330004024004',9,4,23670
'530330004024004',10,8,23670
'530330004024004',11,0,23670
'530330004024005',7,9,13004
'530330004024005',9,309,13004
'530330004024005',11,2,13004
'530330004024006',1,2,20627
'530330004024006',4,3,20627
'530330004024006',7,0,20627
'530330004024006',9,3,20627
'530330004024007',9,1,14138
'530330004024007',11,1,14138
'530330004024008',2,1,23673
'530330004024008',4,10,23673
'530330004024008',11,1,23673
'530330004024009',2,2,23672
'530330004024009',7,3,23672
'530330004024009',9,2,23672
'530330004024010',7,1,23671
'530330004024011',2,1,23676
'530330004024011',4,7,23676
'530330004024011',9,1,23676
'530330004024014',3,1,21981
'530330004024014',7,1,21981
'530330004024014',8,1,21981
'530330004024015',2,4,21982
'530330004024015',9,1,21982
'530330004024016',7,2,21977
'530330004024016',9,4,21977
'530330004024016',10,1,21977
'530330004024018',2,1,23675
'530330004024019',7,1,23674
'530330004024019',9,1,23674
'530330005001000',1,1,12385
'530330005001000',2,2,12385
'530330005001000',5,1,12385
'530330005001000',7,3,12385
'530330005001000',9,2,12385
'530330005001000',11,11,12385
'530330005001003',1,3,4527
'530330005001003',2,3,4527
'530330005001003',7,10,4527
'530330005001003',8,3,4527
'530330005001003',9,3,4527
'530330005001003',10,1,4527
'530330005001003',11,3,4527
'530330005001003',13,0,4527
'530330005001004',5,1,17966
